skpID,lng,lat,place_id,formatted_address,administrative_area_level_3
168.json,-6.8967012,107.609464,ChIJ00vWp1rmaC4RL11NSHtG9Q0,"Jl. Taman Sari No.49, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat 40116, Indonesia",Bandung Wetan
172.json,-6.914635199999999,107.6173571,ChIJx2vKtzPmaC4R3NgIlARznOk,"Jl. Lombok No.6, Merdeka, Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",Sumur Bandung
173.json,-6.917331000000001,107.605278,ChIJWzR3ODvmaC4R7-wVSeXmCRg,"Jl. Pecinan Lama No.13, Braga, Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",Sumur Bandung
174.json,-6.9121972,107.6232217,ChIJbVrJYcvnaC4RehVCns8cwU8,"Jl. Patra Komala No.36, Merdeka, Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",Sumur Bandung
175.json,-6.9187407,107.6188546,ChIJsaCSdC3maC4RNGGaxV1YU_I,"Jl. Baranang Siang No.71, Kb. Pisang, Sumur Bandung, Kota Bandung, Jawa Barat 40112, Indonesia",Sumur Bandung
176.json,-6.1840864,106.8312136,ChIJMZpBSjD0aS4RaSnNhgz_g4o,"Lantai 2, MNC Tower, Jl. Kebon Sirih No.17 - 19, RT.15/RW.7, Kb. Sirih, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",Menteng
177.json,-6.900053499999999,107.6372654,ChIJgbL1uLvnaC4RmhmWB8gpsvU,"Jl. Sukasenang Raya No.11, Cikutra, Cibeunying Kidul, Kota Bandung, Jawa Barat 40124, Indonesia",Cibeunying Kidul
178.json,-6.9025615,107.6534074,ChIJDfuOsJPnaC4RYtKIRovh8Qw,"Jl. Padasuka No.9, Padasuka, Cibeunying Kidul, Kota Bandung, Jawa Barat 40125, Indonesia",Cibeunying Kidul
183.json,-6.8936493,107.6569158,ElpKbC4gUGFkYXN1a2EgTm8uMTQ2LCBQYWRhc3VrYSwgQ2liZXVueWluZyBLaWR1bCwgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQwOTExLCBJbmRvbmVzaWE,"Jl. Padasuka No.146, Padasuka, Cibeunying Kidul, Kota Bandung, Jawa Barat 40911, Indonesia",Cibeunying Kidul
184.json,-6.885820799999999,107.6265434,ChIJfR4PpgDnaC4R8AVxVPGUCSE,"Jl. Cigadung Selatan No.100, Sadang Serang, Coblong, Kota Bandung, Jawa Barat 40133, Indonesia",Coblong
189.json,-6.9362426,107.5972761,ChIJqzv8fKLoaC4RTPEPiLKi6hQ,"Jl. Bojongloa No.69, Situsaeur, Bojongloa Kidul, Kota Bandung, Jawa Barat 40234, Indonesia",Bojongloa Kidul
196.json,-6.9388546,107.5938873,ElZKbC4gUmF5YSBLb3BvIE5vLjI1OCwgS29wbywgQm9qb25nbG9hIEthbGVyLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAyMzMsIEluZG9uZXNpYQ,"Jl. Raya Kopo No.258, Kopo, Bojongloa Kaler, Kota Bandung, Jawa Barat 40233, Indonesia",Bojongloa Kaler
202.json,-6.94522,107.595484,ElJKbC4gTGV1d2kgUGFuamFuZywgU2l0dXNhZXVyLCBCb2pvbmdsb2EgS2lkdWwsIEtvdGEgQmFuZHVuZywgSmF3YSBCYXJhdCwgSW5kb25lc2lh,"Jl. Leuwi Panjang, Situsaeur, Bojongloa Kidul, Kota Bandung, Jawa Barat, Indonesia",Bojongloa Kidul
209.json,-6.9372665,107.5829475,ChIJ_aaeVK7oaC4R3QL7ZQf15cQ,"Jl. Babakan Ciparay No.212, Babakan Ciparay, Kota Bandung, Jawa Barat 40223, Indonesia",Babakan Ciparay
216.json,-6.9261366,107.5744975,ElRKbC4gSG9saXMgTm8uMjEwLCBDYXJpbmdpbiwgQmFuZHVuZyBLdWxvbiwgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQwMjEyLCBJbmRvbmVzaWE,"Jl. Holis No.210, Caringin, Bandung Kulon, Kota Bandung, Jawa Barat 40212, Indonesia",Bandung Kulon
225.json,-6.945991999999999,107.6116826,Ek1KbC4gRGVua2kgTm8uNTQsIENpZ2VyZWxlbmcsIFJlZ29sLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAyNTMsIEluZG9uZXNpYQ,"Jl. Denki No.54, Cigereleng, Regol, Kota Bandung, Jawa Barat 40253, Indonesia",Regol
233.json,-6.9283573,107.6227556,ChIJEzDH7X_oaC4RaucplzBPJPU,"Jl. Talaga Bodas No.35, Malabar, Lengkong, Kota Bandung, Jawa Barat 40262, Indonesia",Lengkong
241.json,-6.9404416,107.6670782,ChIJ6QozwR3oaC4R1WxQNWUyIqA,"Jl. Venus Raya No.6, Manjahlega, Rancasari, Kota Bandung, Jawa Barat 40286, Indonesia",Rancasari
250.json,-6.913022,107.701445,ChIJ2-SHXzrdaC4Rgu97UuRsyPY,"Jl. Alun-Alun Utara No.211, Cigending, Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia",Ujung Berung
256.json,-6.9239555,107.6542823,ChIJb_Eq_uLnaC4ReG-fUqPtPEk,"Jl. Babakan Sari No.117, Babakan Sari, Kiaracondong, Kota Bandung, Jawa Barat 40283, Indonesia",Kiaracondong
263.json,-6.9272177,107.6826165,ChIJSXz4dU3daC4RUNPIScq230Q,"Jl. Cisaranten Kulon, Arcamanik, Kota Bandung, Jawa Barat, Indonesia",Arcamanik
268.json,-6.929075999999999,107.720036,ChIJjcM_2CvDaC4RR0dJ9y0zM4Q,"Jl. Manisi No.13, Cipadung, Cibiru, Kota Bandung, Jawa Barat 40615, Indonesia",Cibiru
269.json,-6.915505899999999,107.7179158,Ek9KbC4gR2FsdW1waXQgTm8uMSwgQ2lzdXJ1cGFuLCBDaWJpcnUsIEtvdGEgQmFuZHVuZywgSmF3YSBCYXJhdCA0MDYxNCwgSW5kb25lc2lh,"Jl. Galumpit No.1, Cisurupan, Cibiru, Kota Bandung, Jawa Barat 40614, Indonesia",Cibiru
270.json,-6.90588,107.683346,ChIJTeuMi0LdaC4Rc-HvbSv1p_A,"Jl. A.H. Nasution No.73, Sindang Jaya, Mandalajati, Kota Bandung, Jawa Barat 40195, Indonesia",Mandalajati
